standard_item_id,canonical_name,observation_date,year_month,merchant_cnpj,uom_com,qty_com,unit_price_com,comparable_price,is_comparable
bd61a49116682d9b,QUEIJO MINAS FRESCAL CATOLE kg,2024-09-03 20:24:53,2024-09,08.414.996/0002-74,KG,0.448,38.9,38.9,True
b6b529725d616bda,QUEIJO MUSSARELA NATVILLE kg,2024-09-03 20:24:53,2024-09,08.414.996/0002-74,KG,0.17,44.9,44.9,True
641054b1e53d0408,LEITE CONDENS BETANIA TP 395G,2024-09-03 20:24:53,2024-09,08.414.996/0002-74,UN,1.0,5.99,15.164556962025316,True
b6b529725d616bda,QUEIJO MUSSARELA NATVILLE kg,2024-09-03 20:24:53,2024-09,08.414.996/0002-74,KG,0.194,44.9,44.9,True
7df864388afd2c6f,PRESUNTO SUINO SADIA kg,2024-09-03 20:24:53,2024-09,08.414.996/0002-74,KG,0.174,35.9,35.9,True
7e9b08db304012b7,OVOS BRANCO AVINE EXT C 30,2024-09-03 20:24:53,2024-09,08.414.996/0002-74,UN,1.0,14.99,14.99,True
abd5089d439fe035,BANANA PRATA kg,2024-09-03 20:24:53,2024-09,08.414.996/0002-74,KG,1.0,5.99,5.99,True
117516d49dad98a0,MANGA ROSA kg,2024-09-03 20:24:53,2024-09,08.414.996/0002-74,KG,1.33,9.99,9.99,True
7520174d153b9ab3,CENOURA kg,2024-09-03 20:24:53,2024-09,08.414.996/0002-74,KG,1.855,3.99,3.99,True
2d952e195c917d2d,BETERRABA kg,2024-09-03 20:24:53,2024-09,08.414.996/0002-74,KG,1.75,3.99,3.99,True
79dd2f59ec4d114e,CAFE BLEND 53 250G ALMOF TRAD,2024-09-03 20:24:53,2024-09,08.414.996/0002-74,UN,1.0,11.59,46.36,True
b56d055f2de410a4,CHA DR OETKER 10G CAMOMILA,2024-09-03 20:24:53,2024-09,08.414.996/0002-74,UN,1.0,4.99,499.0,True
e786248c6b218e1b,CHA DR OETKER 10G MACA E CANELA,2024-09-03 20:24:53,2024-09,08.414.996/0002-74,UN,1.0,9.99,999.0,True
cc1ad82c39fa8c93,BISC C CRACKER VITARELLA 350G TRAD,2024-09-03 20:24:53,2024-09,08.414.996/0002-74,UN,1.0,3.69,10.542857142857144,True
eb0b28d5cc89ace5,GOMA MANDIOCA AGRO MASSAS PCT 1kg,2024-09-03 20:24:53,2024-09,08.414.996/0002-74,UN,1.0,6.99,6.99,True
62e46da96375c66e,CAFE STA CLARA 250G EXT FORT ALMOF,2024-09-03 20:24:53,2024-09,08.414.996/0002-74,UN,1.0,11.99,47.96,True
c4a45f71b4afc7bc,PAO FORMA BAUDUCCO 390G TRAD,2024-09-03 20:24:53,2024-09,08.414.996/0002-74,UN,1.0,8.99,23.05128205128205,True
6208ece0ca94760b,VODKA SMIRNOFF GF 600ML,2024-09-03 20:24:53,2024-09,08.414.996/0002-74,UN,1.0,25.9,43.16666666666666,True
75700ed225cdf3a6,AGUA MIN INDAIA PET 330ML C/GAS,2024-09-03 20:24:53,2024-09,08.414.996/0002-74,UN,1.0,1.79,5.424242424242424,True
e0e490b3d91f8cea,VERMOUTH MARTINI GF 750ML ROSSO,2024-09-03 20:24:53,2024-09,08.414.996/0002-74,UN,1.0,52.9,70.53333333333333,True
75700ed225cdf3a6,AGUA MIN INDAIA PET 330ML C/GAS,2024-09-03 20:24:53,2024-09,08.414.996/0002-74,UN,1.0,1.79,5.424242424242424,True
75700ed225cdf3a6,AGUA MIN INDAIA PET 330ML C/GAS,2024-09-03 20:24:53,2024-09,08.414.996/0002-74,UN,1.0,1.79,5.424242424242424,True
cce7ae8fb051807c,"SUCO INT ALIANCA VD 1,5L TTO UVA",2024-09-03 20:24:53,2024-09,08.414.996/0002-74,UN,1.0,19.99,13.326666666666666,True
f38680d5416f9032,NUTREN SENIOR 740G,2024-09-03 20:24:53,2024-09,08.414.996/0002-74,UN,1.0,165.9,224.1891891891892,True
e1c37082aaed7d6a,INSET AER SBP 300 150ML EUCALIPTO,2024-09-03 20:24:53,2024-09,08.414.996/0002-74,UN,1.0,13.49,89.93333333333334,True
18d643a26100ecd5,LOCAO REPEL FMLY CAR REPELEX 200ML 25 DESC,2024-09-03 20:24:53,2024-09,08.414.996/0002-74,UN,1.0,19.9,99.5,True
f34d2df59d0ff477,PAPEL HIG NEVE FD LV12PG11 30M,2024-09-03 20:24:53,2024-09,08.414.996/0002-74,UN,1.0,24.99,24.99,True
